A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
P,Mollusca,Gaimardia trapesina,6.00E-03,2.00E+06,-2.222,6.301029996
A,Fish,Galeocerdo cuvier,1.44E+05,6.75E+06,5.157,6.82911071
A,Fish,Galeorhinus galeus,1.87E+04,4.94E+06,4.272,6.693726949
A,Birds,Gallinula chloropus,3.40E+02,2.51E+04,2.531,4.399673721
A,Birds,Garrulus glandarius,1.61E+02,1.90E+04,2.207,4.278753601
A,Amphib,Gastrophryne carolinensis,2.11E+00,9.14E+02,0.324,2.960946196
A,Amphib,Gastrophryne olivacea,2.47E+00,6.10E+02,0.393,2.785044958
A,Mammals,Gazella gazella,2.33E+04,1.21E+04,4.366,4.08278537
P,Plant,Gentianella germanica,1.80E-04,1.1,-3.745,0.041392685
A,Reptile,Astrochelys yniphora,2.04E+03,7.46E+02,3.31,2.872738827
